param,year,value
tau,,4.9999
k_stock,,0.5414759432629739
gamma,2019,1.0
gamma,2020,0.9999503242630308
gamma,2021,0.999838608206573
gamma,2022,0.9997713140442205
beta,2019,0.8604673621483356
beta,2020,0.8529635131804314
beta,2021,0.8378832221945337
beta,2022,0.8286444509272131
phi_break_f,2019,0.9145337659861948
phi_break_f,2020,0.9058308578976746
phi_break_f,2021,0.8881187941641503
phi_break_f,2022,0.8769293054826387
phi_smelt_f,2019,0.95
phi_smelt_f,2020,0.9354836013168284
phi_smelt_f,2021,0.9052659989677102
phi_smelt_f,2022,0.8869293054826386
delta,,0.95
eta_break_formal,,0.95
eta_break_informal,,0.7
eta_scrap_formal,,0.97
eta_scrap_informal,,0.6
eta_mfg,,0.98
eta_ore,,0.95
