country,year,value_type,value,Unit,source
India,2018,smelt_secondary,688000,metric tonnes of Pb,USGS Mineral Yearbook (2022)
India,2019,smelt_secondary,737000,metric tonnes of Pb,USGS Mineral Yearbook (2019)
India,2020,smelt_secondary,620000,metric tonnes of Pb,USGS Mineral Yearbook (2023)
India,2021,smelt_secondary,860000,metric tonnes of Pb,USGS Mineral Yearbook (2023)
India,2022,smelt_secondary,760000,metric tonnes of Pb,USGS Mineral Yearbook (2022)
India,2023,smelt_secondary,820000,metric tonnes of Pb,USGS Mineral Yearbook (2023)
